Part Number,Qty Ordered,UM_Multiplier
RVC-SPL,6,1
CABLE-BK,656.2,1
RV-CH-SV-2.4M,90.3,1
RV-USKT,1434.05,1
RV-SEAL,1434.05,1
RV-SCREW,5736.2,1
RV-ORING,1434.05,1
RV-LSKT,1434.05,1
RV-CONTACT,2868.1,1
RV-2700-SP,1434.05,1
CABLE-BK,705.2,1
ECD-BK,29,1
EX-MS-BK,109,1
 ,0,1
EX-MD-BK,55,1
EX-VI-WW,109,1
ECD-BK,3,1
 ,0,1
 ,-1,1
MARK,0,1
RV-USKT,90,1
RV-AB,1,1
RV-SEAL,90,1
RVC-SPL,3,1
 ,0,1
RV-SCREW,360,1
RV-ORING,90,1
MS-LNS-16D,20,1
MLC-2700-B,20,1
LDR24-16,20,1
EX-USK-BK,220,1
EX-VI-IW,220,1
EX-MDA-BK,220,1
EX-CS1,220,1
EX-SH,220,1
EX-CS-P,220,1
T24-600,1,1
 ,0,1
LOT,0,1
RV-SEAL,440,1
 ,0,1
CABLE-BK,220,1
EX-LSK-BK,220,1
EX-OR-22,440,1
EX-SCR,880,1
EX-SPH-FR,220,1
EX-CNT,440,1
EX-G14-CL,300,1
EX-CNT,600,1
RV-SEAL,600,1
EX-USK-BK,300,1
 ,0,1
EX-VI-WW,7,1
EX-OR-22,8,1
EX-SPH-CL,4,1
 ,0,1
 ,0,1
EXSS-CP-FLG-BK,33,1
EXSS-CABLE,165,1
EX-LSK-BK,300,1
 ,0,1
EX-SH,300,1
ECD-BK,5,1
EX-OR-22,66,1
 ,1,1
EX-VI-WW,300,1
CABLE-BK,238,1
 ,0,1
 ,0,1
EX-TOOL,3,1
EX-SH,30,1
EX-OR-22,60,1
EX-G14-CL,30,1
EX-USK-BK,238,1
EX-SCR,1200,1
 ,0,1
MARK,0,1
ECD-BK,5,1
CABLE-BK,131.24,1
EX-OR-22,476,1
EX-SCR,952,1
EX-SH,238,1
EX-SPH-CL,238,1
EXC-SPL,3,1
EX-VI-WW,238,1
EXCH-B2-SA,238,1
EXCH-C-SA,238,1
RV-SEAL,476,1
EX-OR-22,660,1
EXC-SPL,32,1
ECD-BK,4,1
EXC-EC,8,1
 ,0,1
EX-VI-WW,48,1
ECD-BK,4,1
EX-SPH-CL,24,1
EX-OR-22,48,1
EXC-EC,3,1
EX-TOOL,2,1
EX-SPH-CL,33,1
EX-VI-WW,33,1
EXSS-L300,33,1
 ,0,1
EX-SPH-CL,330,1
EX-VI-WW,60,1
 ,0,1
 ,0,1
EX-OR-22,600,1
EX-CNT,476,1
CABLE-BK,200,1
CABLE-BK,52.496,1
EX-LSK-BK,238,1
ECD-BK,20,1
EX-TOOL,3,1
MARK,0,1
 ,1,1
 ,0,1
 ,0,1
EX-OR-22,116,1
EX-OR-22,100,1
EX-S14-CL,50,1
EX-OR-22,1160,1
EX-OR-22,1120,1
EX-S14-CL,560,1
EX-SH,114,1
EX-LSK-BK,1140,1
CABLE-BK,524.96,1
EX-VI-WW,227,1
EX-G14-CL,58,1
EX-USK-BK,1140,1
 ,0,1
EX-SCR,4560,1
RV-SEAL,2280,1
EX-SH,1140,1
ECD-BK,20,1
EX-CNT,2280,1
EX-G14-CL,580,1
EX-VI-WW,1140,1
CABLE-BK,570,1
EX-OR-22,20,1
EX-G14-CL,10,1
EX-VI-WW,20,1
ECD-BK,2,1
CABLE-BK,32.81,1
EX-OR-22,200,1
EX-G14-CL,100,1
EX-VI-WW,100,1
 ,0,1
EX-MS-BK,20,1
EX-MD-BK,10,1
EX-OR-22,220,1
EX-SPH-CL,110,1
 ,0,1
EX-MS-BK,200,1
EX-MD-BK,100,1
 ,0,1
EX-CNT,200,1
RV-SEAL,200,1
EX-SCR,400,1
EX-USK-BK,100,1
EX-LSK-BK,100,1
CABLE-BK,50,1
 ,-1,1
MARK,0,1
ECD-BK,2,1
CABLE-BK,1161.12,1
ECD-BK,67,1
CABLE-BK,1547,1
 ,0,1
RVC-SPL,81,1
EX-MS-BK,3094,1
EX-MD-BK,1547,1
ECD-BK,96,1
EX-VI-WW,1547,1
EX-OR-22,3094,1
EX-SPH-CL,1547,1
EX-VI-WW,309,1
EX-OR-22,310,1
EX-SPH-CL,155,1
 ,0,1
 ,0,1
CABLE-BK,2772.445,1
RV-SEAL,3094,1
EX-LSK-BK,1547,1
EX-CNT,3094,1
EX-USK-BK,1547,1
EX-SCR,6188,1
RV-AB,353,1
 ,0,1
CABLE-BK,843.217,1
RV-USKT,2361.18,1
RV-SEAL,2361.18,1
RV-SCREW,9444.72,1
RV-ORING,2361.18,1
MARK,0,1
ECD-BK,67,1
RVC-EC,20,1
RV-AB,35,1
RVC-SPL,8,1
 ,0,1
RV-LSKT,2361.18,1
ECD-BK,96,1
RV-CH-SV-2.4M,148.68,1
EX-MD-BK,155,1
EX-MS-BK,309,1
 ,0,1
 ,0,1
T24/150-230,1,1
 ,0,1
 ,0,1
RV-USKT,170,1
RV-LSKT,170,1
RV-SEAL,170,1
RV-CONTACT,340,1
RV-ORING,170,1
RV-SCREW,680,1
CABLE-BK,55.76,1
RV-2700-120D,170,1
ECD-BK,2,1
 ,0,1
ECD-BK,2,1
 ,0,1
 ,0,1
 ,1,1
RV-2700-SP,2361.18,1
RV-CONTACT,4722.36,1
RVC-EC,204,1
EX-MD-BK,12,1
EX-VI-WW,23,1
ECD-BK,13,1
EX-SH,223,1
 ,0,1
CABLE-BK,170.612,1
EX-OR-22,446,1
EX-SPH-CL,223,1
EX-VI-WW,223,1
 ,0,1
EX-OR-22,24,1
EX-SPH-CL,12,1
ECD-BK,13,1
CABLE-BK,446,1
EX-LSK-BK,223,1
EX-SCR,892,1
EX-USK-BK,223,1
EX-CNT,446,1
RV-SEAL,446,1
CABLE-BK,117,1
EX-SCR,468,1
EX-USK-BK,117,1
EX-CNT,234,1
EX-LSK-BK,117,1
RV-SEAL,234,1
ECD-BK,12,1
 ,0,1
EX-MS-BK,234,1
EX-MD-BK,117,1
 ,0,1
CABLE-BK,265.761,1
EX-OR-22,234,1
EX-SPH-CL,117,1
EX-VI-WW,117,1
 ,0,1
 ,0,1
EX-TOOL,3,1
EX-SH,22,1
 ,0,1
EX-SPH-CL,22,1
EX-OR-22,44,1
EX-VI-WW,45,1
EX-MS-BK,23,1
 ,-1,1
MARK,0,1
ECD-BK,12,1
ECD-BK,17,1
EX-USK-BK,150,1
EX-CNT,300,1
RV-SEAL,300,1
 ,1,1
EX-VI-WW,206,1
EX-MS-BK,41,1
EX-MD-BK,21,1
EX-VI-WW,41,1
EX-OR-22,42,1
EX-SPH-CL,21,1
EX-SPH-CL,206,1
 ,0,1
EX-MS-BK,412,1
EX-MD-BK,206,1
 ,0,1
CABLE-BK,265.761,1
EX-OR-22,412,1
 ,0,1
 ,0,1
EX-TOOL,2,1
ECD-BK,6,1
EX-SH,15,1
EX-VI-WW,30,1
EX-OR-22,30,1
CABLE-BK,300,1
 ,0,1
ECD-BK,6,1
EX-SH,150,1
 ,0,1
CABLE-BK,78.744,1
EX-OR-22,300,1
EX-SPH-CL,150,1
EX-VI-WW,150,1
CABLE-BK,206,1
EX-SCR,824,1
EX-USK-BK,206,1
EX-CNT,412,1
EX-LSK-BK,206,1
RV-SEAL,412,1
 ,0,1
EX-LSK-BK,150,1
MARK,0,1
EX-SCR,600,1
EX-SPH-CL,15,1
EX-OR-22,300,1
CABLE-BK,78.744,1
 ,0,1
 ,0,1
EX-SH,150,1
ECD-BK,6,1
 ,0,1
EX-SPH-CL,15,1
EX-OR-22,30,1
EX-VI-WW,30,1
EX-SH,15,1
ECD-BK,6,1
EX-TOOL,2,1
 ,0,1
 ,0,1
CABLE-BK,206,1
EX-SCR,824,1
EX-USK-BK,206,1
EX-CNT,412,1
EX-LSK-BK,206,1
RV-SEAL,412,1
EX-VI-WW,206,1
EX-SPH-CL,206,1
EX-OR-22,412,1
CABLE-BK,265.761,1
 ,0,1
EX-MD-BK,206,1
EX-MS-BK,412,1
 ,0,1
EX-SPH-CL,21,1
EX-OR-22,42,1
EX-VI-WW,41,1
EX-MD-BK,21,1
EX-MS-BK,41,1
ECD-BK,17,1
MARK,0,1
 ,1,1
CABLE-BK,300,1
EX-LSK-BK,150,1
EX-SCR,600,1
EX-USK-BK,150,1
EX-CNT,300,1
RV-SEAL,300,1
EX-VI-WW,150,1
EX-SPH-CL,150,1
EX-WW,6.6,1
CABLE-BK,10,1
EX-SPH-CL,6.6,1
EX-LSK-BK,6.6,1
EX-OR-22,13.2,1
RV-SEAL,13.2,1
EX-SCR,26.4,1
EX-USK-BK,6.6,1
EX-CNT,13.2,1
EX-MDA-BK,10,1
 ,1,1
WP-L01C,710.5,1
LDR8-40,6,1
LDR8-80,6,1
TLED-WW-HB,710.5,1
LOT,0,1
LSW-150,350,1
EX-MDA-BK,88,1
ECD-BK,4,1
T24-150,2,1
EX-TK,2,1
EX-WR,92,1
EX-USK-BK,88,1
EX-OR-22,176,1
